S No,Product_Name,Product_Author,Book_Format,Sales_Price,Product_Rating,Genre,State,Region,Date,Cost_Price,Page_Count
1890,Hester,Laurie Lico Albanese,Paperback,10.2,4,Fantasy,Pennsylvania,Northeast,2/1/2023,7.8,98
1891,Sword of Kings,Bernard Cornwell,Paperback,51,4.5,Sci-Fi,Wyoming,West,2/1/2023,39.02,417
1892,Coming Home to Cuckoo Cottage,Heidi Swain,Paperback,8.99,5,Sci-Fi,Florida,South,2/1/2023,6.88,110
1893,The Night Watch,Neil Lancaster,Paperback,8.99,4.5,Sci-Fi,New York,Northeast,2/1/2023,6.88,172
1894,Winter in Madrid,C. J. Sansom,Digital,9.99,4.5,Poetry,Massachusetts,Northeast,2/1/2023,7.64,
1895,4.50 from Paddington,Agatha Christie,Paperback,8.99,4.5,Comedy,California,West,2/1/2023,6.88,134
1896,A Kestrel for a Knave,Barry Hines,Paperback,9.99,4.5,Fantasy,Nevada,West,2/1/2023,7.64,201
1897,The Kaiju Preservation Society,John Scalzi,Paperback,10.1,4,Poetry,Missouri,Midwest,2/1/2023,7.73,115
1898,The Taxidermist's Daughter,Kate Mosse,Paperback,96,4.5,Non Fiction,California,West,2/1/2023,73.44,533
1899,Letting in the Light,Charlotte Betts,Paperback,14.9,1,Sci-Fi,Nebraska,Midwest,2/1/2023,11.4,230
1900,The Last Piece of My Heart,Paige Toon,Paperback,8.99,4.5,Thriller,Texas,South,2/1/2023,6.88,116
1901,The Djinn In The Nightingale's Eye,A S Byatt,Paperback,9.99,4.5,Comedy,Ohio,Midwest,2/1/2023,7.64,174
1902,The Sins of the Father,Jeffrey Archer,Digital,8.99,4.5,Poetry,Pennsylvania,Northeast,2/1/2023,6.88,
1903,Arthur and Teddy Are Coming Out,Ryan Love,Hardcover,14.9,4,Thriller,Illinois,Midwest,2/1/2023,11.4,143
1904,Winging It,Anna Jefferson,Paperback,8.99,5,Thriller,North Carolina,South,2/1/2023,6.88,144
1905,Crime and Punishment,Fyodor Dostoevsky,Hardcover,11.9,5,Thriller,Washington,West,2/1/2023,9.1,139
1906,The Time Traveler's Wife,Audrey Niffenegger,Paperback,9.99,4.5,Thriller,Missouri,Midwest,2/1/2023,7.64,113
1907,Blood & Sugar,Laura Shepherd-Robinson,Paperback,25,4.5,Comedy,Florida,South,2/1/2023,19.12,265
1909,First Person Singular,Haruki Murakami,Paperback,9.99,4.5,Poetry,California,West,2/1/2023,7.64,192
1910,Royal Flash,George MacDonald Fraser,Digital,38,5,Sci-Fi,New Jersey,Northeast,2/1/2023,29.07,
1911,Victory for the Shipyard Girls,Nancy Revell,Paperback,7.99,4.5,Romance,Massachusetts,Northeast,2/1/2023,6.11,177
1912,The Penguin Complete Sherlock Holmes,Arthur Conan Doyle,Digital,18.9,4.5,Poetry,Washington,West,2/1/2023,14.46,
1913,The Other End of the Line,Andrea Camilleri,Paperback,8.99,4,Thriller,Missouri,Midwest,2/1/2023,6.88,105
1914,The Girl from the Island,Lorna Cook,Paperback,7.99,4.5,Thriller,Illinois,Midwest,2/1/2023,6.11,122
1915,Summerwater,Sarah Moss,Paperback,8.99,4.5,Romance,New Hampshire,Northeast,2/1/2023,6.88,140
1916,Orphan X,Gregg Hurwitz,Paperback,86,5,Fantasy,Missouri,Midwest,2/1/2023,65.79,311
1917,Miss Marple and Mystery,Agatha Christie,Paperback,18.9,5,Thriller,Arkansas,South,2/1/2023,14.46,121
1918,Behind Her Eyes,Sarah Pinborough,Hardcover,8.99,4.5,Thriller,California,West,2/1/2023,6.88,134
1919,Hidden Treasures,Fern Britton,Paperback,8.99,4.5,Poetry,North Carolina,South,2/1/2023,6.88,131
1921,The Lost Flowers of Alice Hart,Holly Ringland,Paperback,9.99,5,Poetry,California,West,2/1/2023,7.64,143
1922,A Whole Life,Robert Seethaler,Paperback,8.99,4.5,Sci-Fi,Arizona,West,2/1/2023,6.88,201
1923,Harsh Times,Mario Vargas Llosa,Paperback,9.99,4,Thriller,California,West,2/1/2023,7.64,102
1924,Watchers,Dean Koontz,Paperback,11,4.5,Sci-Fi,Nevada,West,2/1/2023,8.42,147
1925,Lorna Doone,R.D. Blackmore,Paperback,6.85,4.5,Poetry,New Hampshire,Northeast,2/1/2023,5.24,143
1926,Traitors of Rome (Eagles of the Empire 18),Simon Scarrow,Paperback,10.4,5,Comedy,Illinois,Midwest,2/1/2023,7.96,132
1927,Killingly,Katharine Beutner,Hardcover,14.9,4,Thriller,Michigan,Midwest,2/1/2023,11.4,132
1928,A Pale View of Hills,Kazuo Ishiguro,Paperback,9.99,4.5,Romance,Texas,South,2/1/2023,7.64,127
1929,The Bookseller of Inverness,S.G. MacLean,Hardcover,16.9,4.5,Romance,Pennsylvania,Northeast,2/1/2023,12.93,126
1930,The Devil's Star,Jo Nesbo,Paperback,99,5,Non Fiction,California,West,2/1/2023,75.73,683
1931,A Question of Guilt,Jorn Lier Horst,Paperback,9.44,4,Comedy,North Carolina,South,2/1/2023,7.22,153
1932,A Crowning Mercy,Bernard Cornwell,Paperback,59,4.5,Sci-Fi,Illinois,Midwest,2/1/2023,45.13,388
1933,Parable of the Talents,Octavia E. Butler,Audio,9.99,4.5,Thriller,Florida,South,2/1/2023,7.64,
1934,The Berlin Gambit,David O'Donnell,Paperback,11.2,4,Fantasy,Massachusetts,Northeast,2/1/2023,8.57,173
1935,The Schoolhouse,Sophie Ward,Paperback,9.99,4,Sci-Fi,North Carolina,South,2/1/2023,7.64,167
1936,The Summer of Serendipity,Ali McNamara,Paperback,8.99,5,Thriller,Nevada,West,2/1/2023,6.88,149
1937,Players,Karen Swan,Paperback,10.4,4.5,Thriller,Michigan,Midwest,2/1/2023,7.96,152
1938,Fire and Blood,George R.R. Martin,Hardcover,25,4.5,Poetry,California,West,2/1/2023,19.12,163
1939,She Who Became the Sun,Shelley Parker-Chan,Paperback,9.99,4.5,Poetry,Massachusetts,Northeast,2/1/2023,7.64,90
1940,Autobiography of Red,Anne Carson,Paperback,15,5,Thriller,Arizona,West,2/1/2023,11.47,125
1941,Outline,Rachel Cusk,Paperback,9.99,4.5,Thriller,California,West,2/1/2023,7.64,102
1942,Victory of Eagles,Naomi Novik,Digital,9.99,4.5,Thriller,Pennsylvania,Northeast,2/1/2023,7.64,
1943,The Spitfire Sisters,Margaret Dickinson,Paperback,8.99,4,Poetry,Illinois,Midwest,2/1/2023,6.88,190
1944,The Diamond Eye,Kate Quinn,Paperback,10.4,4,Non Fiction,Ohio,Midwest,2/1/2023,7.96,118
1945,Dance of Thieves,Mary E. Pearson,Paperback,37,5,Thriller,Illinois,Midwest,2/1/2023,28.3,306
1946,No Longer Human,Osamu Dazai,Hardcover,18.9,4.5,Comedy,Florida,South,2/1/2023,14.46,200
1947,Small Great Things,Jodi Picoult,Paperback,9.99,5,Thriller,Virginia,South,2/1/2023,7.64,108
1948,HHhH,Laurent Binet,Paperback,9.99,4.5,Poetry,Ohio,Midwest,2/1/2023,7.64,172
1949,The Martian Chronicles,Ray Bradbury,Paperback,8.99,5,Comedy,Pennsylvania,Northeast,2/1/2023,6.88,185
1950,The Light Years,Elizabeth Jane Howard,Paperback,9.99,4.5,Fantasy,California,West,2/1/2023,7.64,158
1951,Shadow State,Andy McNab,Hardcover,16.9,4.5,Poetry,Ohio,Midwest,2/1/2023,12.93,154
1952,The Pale Horseman,Bernard Cornwell,Paperback,8.99,4.5,Thriller,Illinois,Midwest,2/1/2023,6.88,107
1953,The Whisper Man,Alex North,Paperback,9.99,5,Poetry,Illinois,Midwest,2/1/2023,7.64,106
1954,Fix Her Up,Tessa Bailey,Paperback,10.4,4.5,Poetry,Texas,South,2/1/2023,7.96,148
1955,Blue Mars,Kim Stanley Robinson,Paperback,12.9,4.5,Romance,Ohio,Midwest,2/1/2023,9.87,78
1956,Belle of the Back Streets,Glenda Young,Paperback,8.99,4.5,Comedy,New Hampshire,Northeast,2/1/2023,6.88,164
1957,Before I Do,Sophie Cousens,Paperback,8.99,4,Sci-Fi,New Hampshire,Northeast,2/1/2023,6.88,129
1958,Valour,John Gwynne,Paperback,11,5,Sci-Fi,California,West,2/1/2023,8.42,128
1959,A Second Chance,Jodi Taylor,Paperback,10.9,4.5,Poetry,South Dakota,Midwest,2/1/2023,8.34,147
1960,Hot Milk,Deborah Levy,Paperback,9.99,4.5,Comedy,New Jersey,Northeast,2/1/2023,7.64,149
1961,The Enchanted April,Elizabeth Von Arnim,Paperback,8.99,4.5,Comedy,Massachusetts,Northeast,2/1/2023,6.88,109
1962,The Eyes of the Dragon,Stephen King,Paperback,10.1,4.5,Comedy,California,West,2/1/2023,7.73,127
1963,The Stardust Thief,Chelsea Abdullah,Digital,9.99,4,Thriller,New York,Northeast,2/1/2023,7.64,
1964,The End of Nightwork,Aidan Cottrell-Boyce,Hardcover,12.9,4,Thriller,Ohio,Midwest,2/1/2023,9.87,96
1965,The Rage of Dragons,Evan Winter,Paperback,9.83,5,Thriller,Ohio,Midwest,2/1/2023,7.52,154
1966,Our Hideous Progeny,C. E. McGill,Hardcover,16.9,4.5,Romance,California,West,2/1/2023,12.93,168
1967,Rodham,Curtis Sittenfeld,Paperback,9.99,4.5,Non Fiction,Illinois,Midwest,2/1/2023,7.64,212
1968,Wrong Place Wrong Time,Gillian McAllister,Hardcover,14.9,4.5,Thriller,Massachusetts,Northeast,2/1/2023,11.4,96
1969,The Code of the Woosters,P.G. Wodehouse,Paperback,8.99,1.5,Thriller,California,West,2/1/2023,6.88,96
1970,Season of Migration to the North,Tayeb Salih,Paperback,9.99,4.5,Thriller,North Carolina,South,2/1/2023,7.64,200
1971,The Duck Who Didn't Like Water,Steve Small,Paperback,7.99,4,Sci-Fi,North Carolina,South,2/1/2023,6.11,89
1972,Gentlemen & Players,Joanne Harris,Audio,9.99,4,Comedy,Florida,South,2/1/2023,7.64,
1973,Sex And The City,Candace Bushnell,Paperback,8.99,4.5,Comedy,California,West,2/1/2023,6.88,97
1974,A Prayer For Owen Meany,John Irving,Paperback,9.99,5,Fantasy,Arizona,West,2/1/2023,7.64,141
1975,The Vanishing of Audrey Wilde,Eve Chase,Paperback,8.99,4.5,Sci-Fi,Texas,South,2/1/2023,6.88,160
1976,Chainsaw Man: Buddy Stories,Tatsuki Fujimoto,Hardcover,9.24,4.5,Romance,Texas,South,2/1/2023,7.07,154
1977,The Penguin Book of Japanese Short Stories,Jay Rubin,Paperback,12.9,5,Poetry,South Dakota,Midwest,2/1/2023,9.87,103
1978,The Bees,Laline Paull,Paperback,9.83,4.5,Poetry,Arizona,West,2/1/2023,7.52,133
1979,The Wayward Daughter,Catherine Cookson,Digital,7.99,4.5,Fantasy,Illinois,Midwest,2/1/2023,6.11,
1980,Pincher Martin,William Golding,Paperback,8.99,4.5,Thriller,California,West,2/1/2023,6.88,113
1981,The Man Who Planted Trees,Jean Giono,Paperback,7.99,5,Comedy,Connecticut,Northeast,2/1/2023,6.11,94
1982,Blood Runs Cold,Neil Lancaster,Hardcover,14.9,5,Thriller,California,West,2/1/2023,11.4,166
1983,The Coming of the Wolf,Elizabeth Chadwick,Paperback,8.99,4.5,Thriller,Nevada,West,2/1/2023,6.88,92
1984,Brick Lane,Monica Ali,Digital,9.99,4.5,Comedy,California,West,2/1/2023,7.64,
1985,These Twisted Bonds,Lexi Ryan,Hardcover,16.9,5,Thriller,Pennsylvania,Northeast,2/1/2023,12.93,134
1986,Cannery Row,Mr John Steinbeck,Paperback,8.99,5,Poetry,Minnesota,Midwest,2/1/2023,6.88,176
1987,Brutal,Mandasue Heller,Digital,8.99,5,Poetry,Washington,West,2/1/2023,6.88,
1988,Murder on the Orient Express,Agatha Christie,Paperback,8.99,5,Comedy,Iowa,Midwest,2/1/2023,6.88,110
1989,Phoebe,Paula Gooder,Paperback,42,5,Sci-Fi,Arizona,West,2/1/2023,32.13,330
1990,Pyramids,Terry Pratchett,Paperback,9.99,4.5,Fantasy,California,West,2/1/2023,7.64,191
1991,The Clockmaker's Daughter,Kate Morton,Paperback,36,4.5,Sci-Fi,Pennsylvania,Northeast,2/1/2023,27.54,111
1992,Sensible Shoes Study Guide,Sharon Garlough Brown,Paperback,8.99,4.5,Thriller,California,West,2/1/2023,6.88,168
1993,Women in Love,D.H. Lawrence,Paperback,3.99,4.5,Sci-Fi,California,West,2/1/2023,3.05,98
1994,Call Me By Your Name,Andre Aciman,Hardcover,14.9,4,Sci-Fi,California,West,2/1/2023,11.4,156
1995,The Widow Couderc,Georges Simenon,Hardcover,10.9,1.5,Comedy,California,West,2/1/2023,8.34,126
1996,The Little Wartime Library,Kate Thompson,Paperback,8.99,4.5,Poetry,Arizona,West,2/1/2023,6.88,189
1997,How We Disappeared,Jing-Jing Lee,Paperback,8.99,4.5,Poetry,New York,Northeast,2/1/2023,6.88,106
1998,Wizard of the Crow,Ngugi wa Thiong'o,Paperback,13.6,4.5,Sci-Fi,New Jersey,Northeast,2/1/2023,10.4,93
1999,The Lovely Bones,Alice Sebold,Hardcover,12.9,4.5,Poetry,Iowa,Midwest,2/1/2023,9.87,125
2000,Lie With Me,Philippe Besson,Paperback,69,5,Thriller,Nevada,West,2/1/2023,52.79,482
2001,The Mountain Shadow,Gregory David Roberts,Paperback,11,4.5,Thriller,Illinois,Midwest,2/1/2023,8.42,147
2002,"Six Tudor Queens: Katharine Parr, The Sixth Wife",Alison Weir,Paperback,44,5,Comedy,California,West,2/1/2023,33.66,406
2003,Cocktails For Three,Madeleine Wickham,Paperback,9.99,4.5,Romance,North Carolina,South,2/1/2023,7.64,93
2004,The Collected Works of Oscar Wilde,Oscar Wilde,Paperback,12.9,5,Sci-Fi,Arkansas,South,2/1/2023,9.87,124
2005,Gulliver's Travels,Jonathan Swift,Digital,5.99,4.5,Thriller,Missouri,Midwest,2/1/2023,4.58,
2006,The Great Chocoplot,Chris Callaghan,Paperback,99,4.5,Non Fiction,California,West,2/1/2023,75.73,348
2007,Our Fathers,Rebecca Wait,Paperback,8.99,5,Comedy,California,West,2/1/2023,6.88,127
2008,The Curator,Owen King,Hardcover,20,4.5,Sci-Fi,Massachusetts,Northeast,2/1/2023,15.3,126
2009,So Not Meant To Be,Meghan Quinn,Paperback,10.1,5,Fantasy,California,West,2/1/2023,7.73,171
2010,Ready Player Two,Ernest Cline,Paperback,67,4.5,Sci-Fi,New York,Northeast,2/1/2023,51.26,401
2011,The Great God Pan and Other Horror Stories,Arthur Machen,Digital,9.99,4.5,Sci-Fi,Pennsylvania,Northeast,2/1/2023,7.64,
2012,A Column of Fire (The Kingsbridge Novels),Ken Follett,Hardcover,20,5,Poetry,California,West,2/1/2023,15.3,145
2013,The Eagle's Prophecy (Eagles of the Empire 6),Simon Scarrow,Paperback,9.99,4,Sci-Fi,Florida,South,2/1/2023,7.64,118
2014,The Cockney Angel,Dilly Court,Paperback,71,5,Sci-Fi,California,West,2/1/2023,54.31,613
2015,The Guilty Couple,C.L. Taylor,Hardcover,14.9,4.5,Sci-Fi,Illinois,Midwest,2/1/2023,11.4,98
2016,The Storied Life of A.J. Fikry,Gabrielle Zevin,Paperback,80,4,Thriller,Montana,West,2/1/2023,61.2,444
2017,To the Land of Long Lost Friends,Alexander McCall Smith,Paperback,8.99,4.5,Poetry,Illinois,Midwest,2/1/2023,6.88,149
2018,The Last White Man,Mohsin Hamid,Paperback,69,4,Non Fiction,California,West,2/1/2023,52.79,775
2019,The Olive Branch,Jo Thomas,Audio,9.99,5,Comedy,Minnesota,Midwest,2/1/2023,7.64,
2020,Execution,S. J. Parris,Hardcover,8.99,5,Thriller,North Carolina,South,2/1/2023,6.88,121
2021,Whisper Network,Chandler Baker,Paperback,8.99,4.5,Sci-Fi,California,West,2/1/2023,6.88,180
2022,The Summer Wedding in Santorini,Samantha Parks,Paperback,8.99,4,Comedy,Missouri,Midwest,2/1/2023,6.88,169
2023,The Moose Paradox,Antti Tuomainen,Paperback,10.4,4,Sci-Fi,Florida,South,2/1/2023,7.96,130
2024,Brothers in Blood (Eagles of the Empire 13),Simon Scarrow,Hardcover,10.1,4.5,Thriller,Arizona,West,2/1/2023,7.73,126
2025,Maps of Our Spectacular Bodies,Maddie Mortimer,Paperback,10.1,4,Romance,California,West,2/1/2023,7.73,194
2026,Black Girl from Pyongyang,Monica Macias,Hardcover,18.9,4.5,Poetry,Pennsylvania,Northeast,2/1/2023,14.46,123
2027,Love in the Time of Cholera,Gabriel Garcia Marquez,Paperback,9.99,4.5,Thriller,Virginia,South,2/1/2023,7.64,106
2028,A Patchwork Family,Cathy Bramley,Paperback,8.99,5,Thriller,California,West,2/1/2023,6.88,182
2029,Elena Knows,Claudia Pineiro,Paperback,11.9,4.5,Poetry,Texas,South,2/1/2023,9.1,146
2030,Middle England,Jonathan Coe,Paperback,9.99,4.5,Sci-Fi,Illinois,Midwest,2/1/2023,7.64,187
2031,The Murder of Roger Ackroyd,Agatha Christie,Hardcover,14.9,4.5,Fantasy,Rhode Island,Northeast,2/1/2023,11.4,80
2032,We,Yevgeny Zamyatin,Digital,8.99,4.5,Poetry,California,West,2/1/2023,6.88,
2033,Mayday!,Clive Cussler,Paperback,8.99,4.5,Thriller,Illinois,Midwest,2/1/2023,6.88,151
2034,LEONARD AND HUNGRY PAUL,Ronan Hession,Paperback,9.99,4.5,Poetry,Illinois,Midwest,2/1/2023,7.64,148
2035,Breakfast of Champions,Kurt Vonnegut,Paperback,9.99,4.5,Poetry,Massachusetts,Northeast,2/1/2023,7.64,131
2036,"Briefly, A Delicious Life",Nell Stevens,Paperback,10.4,4.5,Sci-Fi,Michigan,Midwest,2/1/2023,7.96,60
2037,Treacle Walker,Alan Garner,Paperback,8.99,4.5,Fantasy,California,West,2/1/2023,6.88,183
2038,The Daughter-in-Law,Fanny Blake,Paperback,8.99,2,Thriller,Pennsylvania,Northeast,2/1/2023,6.88,102
2039,The Sun Also Rises,Ernest Hemingway,Paperback,8.97,4,Sci-Fi,New York,Northeast,2/1/2023,6.86,115
2040,The Labyrinth,Simon Stalenhag,Hardcover,25,5,Thriller,Ohio,Midwest,2/1/2023,19.12,147
2041,Last Stories,William Trevor,Hardcover,9.99,4.5,Fantasy,Texas,South,2/1/2023,7.64,69
2042,Disney Modern Classics: Encanto,Sally Morgan,Hardcover,13.9,4,Sci-Fi,Arkansas,South,2/1/2023,10.63,60
2043,The Housekeeper and the Professor (Vintage Classics Japanese Series),Yoko Ogawa,Paperback,10.9,5,Romance,Pennsylvania,Northeast,2/1/2023,8.34,212
2044,The Lost Lights of St Kilda,Elisabeth Gifford,Paperback,9.99,4.5,Poetry,California,West,2/1/2023,7.64,151
2045,The Minute I Saw You,Paige Toon,Paperback,8.99,4.5,Sci-Fi,Ohio,Midwest,2/1/2023,6.88,148
2046,This Is Memorial Device,David Keenan,Paperback,9.99,4,Sci-Fi,Florida,South,2/1/2023,7.64,148
2047,A Rose Petal Summer,Katie Fforde,Paperback,9.99,4.5,Sci-Fi,New Jersey,Northeast,2/1/2023,7.64,158
2048,Haven't They Grown,Sophie Hannah,Paperback,8.99,4.5,Romance,California,West,2/1/2023,6.88,185
2049,Death and Croissants,Ian Moore,Hardcover,14.9,4.5,Fantasy,California,West,2/1/2023,11.4,96
2050,The Swimming-Pool Library,Alan Hollinghurst,Paperback,9.99,4.5,Romance,North Carolina,South,2/1/2023,7.64,175
2051,Trick or Treat,Katerina Diamond,Paperback,7.99,4,Fantasy,Nevada,West,2/1/2023,6.11,93
2052,Come Sundown,Nora Roberts,Paperback,8.99,1,Poetry,Ohio,Midwest,2/1/2023,6.88,158
2053,What Remains?,Rupert Callender,Hardcover,20,4.5,Comedy,Illinois,Midwest,2/1/2023,15.3,183
2054,Daddy,Emma Cline,Paperback,9.99,1.5,Poetry,New Hampshire,Northeast,2/1/2023,7.64,123
2055,Should I Tell You?,Jill Mansell,Paperback,8.99,4.5,Comedy,Nevada,West,2/1/2023,6.88,127
2056,A Divided Spy,Charles Cumming,Paperback,9.99,5,Thriller,Nevada,West,2/1/2023,7.64,88
2057,The Game,Linda Calvey,Paperback,8.99,4,Thriller,California,West,2/1/2023,6.88,68
2058,The Woman Destroyed,Simone de Beauvoir,Digital,8.99,5,Poetry,New Jersey,Northeast,2/1/2023,6.88,
2059,Elephants Can Remember,Agatha Christie,Paperback,8.99,4.5,Thriller,California,West,2/1/2023,6.88,180
2060,Taipei,Tao Lin,Paperback,9.99,4,Sci-Fi,Texas,South,2/1/2023,7.64,161
2061,Copperhead,Bernard Cornwell,Paperback,10.4,5,Fantasy,Arizona,West,2/1/2023,7.96,130
2062,"Dumped, Actually",Nick Spalding,Paperback,45,4.5,Thriller,California,West,2/1/2023,34.42,245
2063,A Sister's War,Molly Green,Paperback,7.99,4,Thriller,Missouri,Midwest,2/1/2023,6.11,133
2064,Invisible Cities,Italo Calvino,Paperback,8.99,4.5,Non Fiction,Virginia,South,2/1/2023,6.88,153
2065,Nordic Tales,Chronicle Books,Hardcover,18.9,4.5,Romance,Louisiana,South,2/1/2023,14.46,90
2066,Factory Girls,Michelle Gallen,Paperback,54,4.5,Sci-Fi,Texas,South,2/1/2023,41.31,367
2067,Vladimir,Julia May Jonas,Hardcover,14.9,4.5,Sci-Fi,Pennsylvania,Northeast,2/1/2023,11.4,146
2068,Redeeming Love,Francine Rivers,Paperback,11,5,Sci-Fi,Texas,South,2/1/2023,8.42,128
2069,Call of the Raven,Wilbur Smith,Paperback,42,4.5,Thriller,Illinois,Midwest,2/1/2023,32.13,345
2070,The Air Raid Girls at Christmas,Jenny Holmes,Paperback,6.99,4,Thriller,Ohio,Midwest,2/1/2023,5.35,107
2071,The Fortune Men,Nadifa Mohamed,Digital,9.99,4.5,Thriller,California,West,2/1/2023,7.64,
2072,Mum & Dad,Joanna Trollope,Paperback,8.99,4.5,Romance,New Jersey,Northeast,2/1/2023,6.88,111
2073,David Copperfield,Charles Dickens,Hardcover,18.9,4.5,Poetry,New Jersey,Northeast,2/1/2023,14.46,152
2074,The Villa,Rosanna Ley,Paperback,8.99,4,Poetry,Washington,West,2/1/2023,6.88,123
2075,The Sound and the Fury,William Faulkner,Paperback,9.99,4.5,Thriller,California,West,2/1/2023,7.64,139
2076,The War of the Worlds,H. G. Wells,Paperback,4.87,4.5,Thriller,Texas,South,2/1/2023,3.73,123
2077,A Murder is Announced,Agatha Christie,Hardcover,8.99,4.5,Romance,South Dakota,Midwest,2/1/2023,6.88,125
2078,Lady Chatterley's Lover,D. H. Lawrence,Paperback,6,4.5,Sci-Fi,Ohio,Midwest,2/1/2023,4.59,134
2079,The Mothers,Brit Bennett,Paperback,9.99,4.5,Sci-Fi,Connecticut,Northeast,2/1/2023,7.64,97
2080,The Book Woman of Troublesome Creek,Kim Michele Richardson,Paperback,11.9,2.5,Sci-Fi,Texas,South,2/1/2023,9.1,132
2081,The Secret Service of Tea and Treason,India Holton,Audio,71,5,Non Fiction,Illinois,Midwest,2/1/2023,54.31,
2082,The Yacoubian Building,Alaa Al Aswany,Paperback,9.99,4.5,Sci-Fi,California,West,2/1/2023,7.64,146
2083,Leave the World Behind,Rumaan Alam,Paperback,9.99,4.5,Sci-Fi,Washington,West,2/1/2023,7.64,147
2084,The Nightmare,Lars Kepler,Hardcover,10.4,4.5,Sci-Fi,California,West,2/1/2023,7.96,108
2085,The Watkins Book of English Folktales,Neil Philip,Hardcover,14.9,4.5,Comedy,New Jersey,Northeast,2/1/2023,11.4,138
2086,Honour,Elif Shafak,Digital,9.99,4.5,Sci-Fi,California,West,2/1/2023,7.64,
2087,Bored Gay Werewolf,Tony Santorella,Hardcover,14.9,4,Poetry,Pennsylvania,Northeast,2/1/2023,11.4,178
2089,Mr Loverman,Bernardine Evaristo,Paperback,9.99,4.5,Thriller,California,West,2/1/2023,7.64,241
2090,The Dare,Lesley Kara,Paperback,7.99,4.5,Sci-Fi,California,West,2/1/2023,6.11,128
2091,Attack on Titan Omnibus 1 (Vol. 1-3),Hajime Isayama,Paperback,19.9,4.5,Sci-Fi,Iowa,Midwest,2/1/2023,15.22,293
2092,Guards! Guards!,Terry Pratchett,Hardcover,14.9,5,Comedy,Missouri,Midwest,2/1/2023,11.4,59
2093,Burial Rites,Hannah Kent,Paperback,9.99,5,Romance,Arizona,West,2/1/2023,7.64,105
2094,The Hidden Truth,Hilary Boyd,Paperback,8.73,4.5,Thriller,Pennsylvania,Northeast,2/1/2023,6.68,170
2095,People Who Knew Me,Kim Hooper,Paperback,12.9,4,Comedy,West Virginia,South,2/1/2023,9.87,158
2096,The Business,Martina Cole,Hardcover,10.9,4.5,Comedy,Connecticut,Northeast,2/1/2023,8.34,184
2097,"Marzahn, Mon Amour",Katja Oskamp,Paperback,12,4,Sci-Fi,Texas,South,2/1/2023,9.18,146
2098,The Music Shop,Rachel Joyce,Digital,9.99,4.5,Poetry,Nevada,West,2/1/2023,7.64,
2099,Mrs Harris Goes to Paris & Mrs Harris Goes to New York,Paul Gallico,Paperback,8.99,5,Poetry,North Carolina,South,2/1/2023,6.88,160
2100,Storm of War:  Empire XIII,Anthony Riches,Hardcover,20,4,Thriller,Missouri,Midwest,2/1/2023,15.3,218
2101,The Forgotten Holocaust,Scott Mariani,Paperback,10.4,4.5,Comedy,Missouri,Midwest,2/1/2023,7.96,104
2102,The Girl and the Moon,Mark Lawrence,Paperback,59,4,Thriller,New York,Northeast,2/1/2023,45.13,519
2103,Emma,Jane Austen,Paperback,5.47,5,Comedy,North Carolina,South,2/1/2023,4.18,111
2104,Paul Takes the Form of A Mortal Girl,Andrea Lawlor,Paperback,9.99,1.5,Sci-Fi,California,West,2/1/2023,7.64,97
2105,Just Between Us,Adele Parks,Hardcover,14.9,4.5,Comedy,Montana,West,2/1/2023,11.4,74
2106,Intimacies,Lucy Caldwell,Hardcover,9.99,4,Sci-Fi,North Carolina,South,2/1/2023,7.64,101
2107,The House Beneath the Cliffs,Sharon Gosling,Paperback,8.99,4.5,Thriller,Texas,South,2/1/2023,6.88,74
2108,Bel Canto,Ann Patchett,Paperback,8.99,4,Comedy,Illinois,Midwest,2/1/2023,6.88,137
2109,Guilty Not Guilty,Felix Francis,Paperback,8.99,4,Thriller,Virginia,South,2/1/2023,6.88,127
2110,Dune,Frank Herbert,Hardcover,12.9,4.5,Sci-Fi,New York,Northeast,2/1/2023,9.87,99
2111,The Blood Crows,Simon Scarrow,Digital,10.9,5,Sci-Fi,California,West,2/1/2023,8.34,
2112,When We Cease to Understand the World,Benjamin Labatut,Paperback,71,4.5,Sci-Fi,Iowa,Midwest,2/1/2023,54.31,605
2113,These Infinite Threads,Tahereh Mafi,Hardcover,14.9,4,Romance,Texas,South,2/1/2023,11.4,100
2114,Vengeance: Empire XII,Anthony Riches,Paperback,52,4.5,Poetry,Florida,South,2/1/2023,39.78,174
2115,100 Uplifting Short Stories for Seniors,Charlie Miller,Paperback,16.1,1.5,Sci-Fi,California,West,2/1/2023,12.32,184
2116,The Last Tudor,Philippa Gregory,Paperback,8.99,4.5,Sci-Fi,Pennsylvania,Northeast,2/1/2023,6.88,146
2117,Into the Dark,Fiona Cummins,Hardcover,8.99,4.5,Poetry,Texas,South,2/1/2023,6.88,72
2118,In the Lives of Puppets,TJ Klune,Hardcover,18.9,4.5,Non Fiction,Pennsylvania,Northeast,2/1/2023,14.46,124
2119,The King Must Die,Mary Renault,Paperback,81,4.5,Sci-Fi,California,West,2/1/2023,61.97,586
2120,Coming Up for Air,George Orwell,Paperback,9.24,4,Thriller,Florida,South,2/1/2023,7.07,106
2121,What Happens Now?,Sophia Money-Coutts,Paperback,7.99,4.5,Non Fiction,Missouri,Midwest,2/1/2023,6.11,143
2122,The Wind in the Willows,Kenneth Grahame,Digital,5.47,4.5,Sci-Fi,North Carolina,South,2/1/2023,4.18,
